847,19,MUJER,PRINCIPAL,Buenos Aires,,21/08/2016,
846,48,MUJER,PRINCIPAL,Córdoba,,13/03/2017,
845,53,MUJER,PRINCIPAL,Córdoba,,10/03/2017,
844,43,MUJER,PRINCIPAL,Neuquen,,12/03/2017,
843,36,MUJER,PRINCIPAL,Córdoba,,05/03/2017,
842,54,MUJER,PRINCIPAL,Salta,,24/02/2017,
841,35,,PRINCIPAL,Entre Rios,,28/02/2017,
840,67,MUJER,PRINCIPAL,Santa Fe,,27/02/2017,
839,22,MUJER,PRINCIPAL,Buenos Aires,,24/02/2017,
838,20,MUJER,PRINCIPAL,Buenos Aires,,21/02/2017,
837,3,,VINCULADO,Santiago del Estero,,20/02/2017,
837,9,MUJER,VINCULADO,Santiago del Estero,,20/02/2017,
837,11,MUJER,VINCULADO,Santiago del Estero,,20/02/2017,
837,12,HOMBRE,VINCULADO,Santiago del Estero,,20/02/2017,
837,33,MUJER,PRINCIPAL,Santiago del Estero,,20/02/2017,
836,20,MUJER,PRINCIPAL,Jujuy,,17/02/2017,
835,8,MUJER,VINCULADO,Jujuy,,15/02/2017,
835,30,MUJER,PRINCIPAL,Jujuy,,15/02/2017,
834,31,MUJER,PRINCIPAL,Mendoza,,15/02/2017,
833,27,MUJER,PRINCIPAL,Buenos Aires,,17/02/2017,
831,42,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO - GOLPES -,11/02/2017,
830,16,MUJER,VINCULADO,Buenos Aires,DISPARO DE BALA -,12/02/2017,
830,17,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,12/02/2017,
829,42,MUJER,PRINCIPAL,Buenos Aires,GOLPES -,12/02/2017,
828,40,MUJER,PRINCIPAL,Corrientes,QUEMADURAS -,01/02/2017,
827,26,MUJER,PRINCIPAL,Buenos Aires,GOLPES -,21/03/2016,
826,15,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,03/02/2017,
826,50,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,03/02/2017,
825,55,MUJER,VINCULADO,Buenos Aires,DISPARO DE BALA -,05/02/2017,
825,34,HOMBRE,VINCULADO,Buenos Aires,DISPARO DE BALA -,05/02/2017,
825,Se desconoce,HOMBRE,VINCULADO,Buenos Aires,DISPARO DE BALA -,05/02/2017,
825,Se desconoce,MUJER,VINCULADO,Buenos Aires,DISPARO DE BALA -,05/02/2017,
825,Se desconoce,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,05/02/2017,
824,32,MUJER,PRINCIPAL,Santa Fe,GOLPES -,06/02/2017,
823,44,MUJER,PRINCIPAL,Salta,ACUCHILLAMIENTO -,27/01/2017,
822,28,MUJER,PRINCIPAL,Tucuman,APUÑALAMIENTO -,04/02/2017,
821,26,MUJER,PRINCIPAL,Salta,ACUCHILLAMIENTO -,01/02/2017,
820,28,MUJER,PRINCIPAL,Chubut,GOLPES -,27/01/2017,
819,53,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,25/01/2017,
818,28,MUJER,PRINCIPAL,Salta,QUEMADURAS -,22/01/2017,
813,25,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,20/01/2017,
812,39,MUJER,PRINCIPAL,Buenos Aires,Sin datos,21/01/2017,
811,25,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,16/01/2017,
